radius,density,pressure,temperature,cond,kapt,cp,
7.50E+08,5.73E+00,5.60E+12,2.67E+03,1.50E+08,1.46E+00,1.80E+07,0
7.25E+08,5.88E+00,5.83E+12,2.67E+03,1.55E+08,1.46E+00,1.80E+07,0
7.00E+08,6.10E+00,6.05E+12,2.67E+03,1.62E+08,1.47E+00,1.80E+07,0
6.75E+08,6.34E+00,6.28E+12,2.68E+03,1.70E+08,1.48E+00,1.80E+07,0
6.50E+08,6.55E+00,6.52E+12,2.68E+03,1.76E+08,1.49E+00,1.80E+07,0
6.25E+08,6.80E+00,6.76E+12,2.68E+03,1.84E+08,1.50E+00,1.80E+07,0
6.00E+08,6.96E+00,7.01E+12,2.68E+03,1.89E+08,1.51E+00,1.81E+07,0
5.75E+08,7.08E+00,7.26E+12,2.68E+03,1.94E+08,1.51E+00,1.81E+07,0
5.50E+08,7.27E+00,7.51E+12,2.68E+03,2.00E+08,1.52E+00,1.81E+07,0
5.25E+08,7.48E+00,7.76E+12,2.68E+03,2.07E+08,1.53E+00,1.81E+07,0
5.00E+08,7.82E+00,8.02E+12,2.69E+03,2.18E+08,1.54E+00,1.81E+07,0
4.75E+08,8.13E+00,8.28E+12,2.69E+03,2.29E+08,1.55E+00,1.81E+07,0
4.50E+08,8.56E+00,8.55E+12,2.69E+03,2.17E+08,4.37E+00,5.80E+06,0
4.25E+08,9.25E+00,8.82E+12,2.69E+03,2.37E+08,4.43E+00,5.80E+06,0
4.00E+08,9.64E+00,9.11E+12,2.69E+03,2.49E+08,4.46E+00,5.80E+06,0
3.75E+08,1.01E+01,9.39E+12,2.69E+03,2.64E+08,4.50E+00,5.80E+06,0
3.50E+08,1.07E+01,9.69E+12,2.69E+03,2.82E+08,4.54E+00,5.80E+06,0
3.25E+08,1.11E+01,9.98E+12,2.69E+03,2.95E+08,4.57E+00,5.80E+06,0
3.00E+08,1.18E+01,1.03E+13,2.69E+03,3.16E+08,4.62E+00,5.80E+06,0
2.75E+08,1.27E+01,1.05E+13,2.69E+03,3.45E+08,4.68E+00,5.80E+06,0
2.50E+08,1.37E+01,1.08E+13,2.69E+03,3.76E+08,4.75E+00,5.80E+06,0
2.25E+08,1.47E+01,1.11E+13,2.69E+03,4.10E+08,4.81E+00,5.80E+06,0
2.00E+08,1.54E+01,1.13E+13,2.69E+03,4.35E+08,4.86E+00,5.80E+06,0
1.75E+08,1.59E+01,1.14E+13,2.69E+03,4.51E+08,4.89E+00,5.80E+06,0
1.50E+08,1.67E+01,1.15E+13,2.69E+03,4.78E+08,4.93E+00,5.80E+06,0
1.25E+08,1.71E+01,1.14E+13,2.69E+03,4.92E+08,4.96E+00,5.80E+06,0
1.00E+08,1.75E+01,1.10E+13,2.69E+03,5.07E+08,4.98E+00,5.80E+06,0
7.50E+07,1.80E+01,1.02E+13,2.69E+03,5.22E+08,5.01E+00,5.80E+06,0
5.00E+07,1.81E+01,7.89E+12,2.69E+03,5.28E+08,5.02E+00,5.80E+06,0
