Composition = 65% Dunite, 35% Water
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.46,14.6,1.5638002662211006
1.46,14.8,1.6586294483234079
1.46,15.0,1.7553436885918878
1.54,-4.2,0.24911494692220346
1.54,-4.0,0.25041744963471546
1.54,-3.8,0.251719947130398
1.54,-3.6,0.25302243940892555
1.54,-3.4,0.2543249264699726
1.54,-3.2,0.25562740831321373
1.54,-3.0,0.25692988493832364
1.54,-2.8,0.25823235634497743
1.54,-2.6,0.2595348225328496
1.54,-2.4,0.2608372835016152
1.54,-2.2,0.2621397392509496
1.54,-2.0,0.26344218978052775
1.54,-1.8,0.26474463509002494
1.54,-1.6,0.2660470751791167
1.54,-1.4,0.26734951004747837
1.54,-1.2,0.26865193969478546
1.54,-1.0,0.26995436412071394
1.54,-0.8,0.2712567833249393
1.54,-0.6,0.2725591973071374
1.54,-0.4,0.27386160606698445
1.54,-0.2,0.27516400960415616
1.54,0.0,0.27646640791832894
1.54,0.2,0.27776880100917895
1.54,0.4,0.27907118887638255
1.54,0.6,0.2803735715196162
1.54,0.8,0.28167594893855646
1.54,1.0,0.28297832113287985
1.54,1.2,0.28428068810226315
1.54,1.4,0.2855830498463833
1.54,1.6,0.2868854063649171
1.54,1.8,0.28818775765754145
1.54,2.0,0.28949010372393386
1.54,2.2,0.2907924445637711
1.54,2.4,0.29209478017673096
1.54,2.6,0.29339711056249024
1.54,2.8,0.294699435720727
1.54,3.0,0.29600175565111847
1.54,3.2,0.29730407035334255
1.54,3.4,0.2986063798270771
1.54,3.6,0.29990868407199983
1.54,3.8,0.3012109830877887
1.54,4.0,0.30251327687412194
1.54,4.2,0.30381556543067767
1.54,4.4,0.3051178487571344
1.54,4.6,0.30642012685317005
1.54,4.8,0.30772239971846344
1.54,5.0,0.309024667352693
1.54,5.2,0.3103269297555375
1.54,5.4,0.3116291869266757
1.54,5.6,0.3129314388657862
1.54,5.8,0.3142336855725484
1.54,6.0,0.315535927046641
1.54,6.2,0.31683816328774334
1.54,6.4,0.3181403942955346
1.54,6.6,0.31944262006969415
1.54,6.8,0.3207448406099014
1.54,7.0,0.3220470559158359
1.54,7.2,0.3233492659871773
1.54,7.4,0.3246514708236054
1.54,7.6,0.32595367042480017
1.54,7.8,0.32725586479044116
1.54,8.0,0.32855805392020865
1.54,8.2,0.3298602378137829
1.54,8.4,0.3311624164708439
1.54,8.6,0.3324645898910719
1.54,8.8,0.33376675807414763
1.54,9.0,0.3350689210197514
1.54,9.2,0.33637107872756383
1.54,9.4,0.33767323119726567
1.54,9.6,0.3389753784285378
1.54,9.8,0.3402775204210612
1.54,10.0,0.34157965717451666
1.54,10.2,0.34288178868858515
1.54,10.4,0.3441839149629484
1.54,10.6,0.3468078384379494
1.54,10.8,0.365598075540976
1.54,11.0,0.38392564485870134
1.54,11.2,0.402376429933617
1.54,11.4,0.43953591055745744
1.54,11.6,0.47864195933896025
1.54,11.8,0.5214822845137126
1.54,12.0,0.5729960232170557
1.54,12.2,0.6276501860607336
1.54,12.4,0.6875824186049897
1.54,12.6,0.7510574142450084
1.54,12.8,0.8189077830021474
1.54,13.0,0.8902095281711089
1.54,13.2,0.9643583442585038
1.54,13.4,1.0418924029767065
1.54,13.6,1.1227443275577162
1.54,13.8,1.2061183800646724
1.54,14.0,1.29204492374555
1.54,14.2,1.3803846559162487
1.54,14.4,1.4709805996816874
1.54,14.6,1.5638002662191728
1.54,14.8,1.658629448322502
1.54,15.0,1.7553436885914482
1.62,-4.2,0.24855733200750027
1.62,-4.0,0.2498672638674998
1.62,-3.8,0.25117719040706493
1.62,-3.6,0.2524871116258608
1.62,-3.4,0.2537970275235527
1.62,-3.2,0.2551069380998061
1.62,-3.0,0.25641684335428655
1.62,-2.8,0.2577267432866594
1.62,-2.6,0.25903663789659037
1.62,-2.4,0.26034652718374524
1.62,-2.2,0.2616564111477902
1.62,-2.0,0.26296628978839065
1.62,-1.8,0.2642761631052131
1.62,-1.6,0.2655860310979237
1.62,-1.4,0.26689589376618855
1.62,-1.2,0.26820575110967426
1.62,-1.0,0.2695156031280471
1.62,-0.8,0.2708254498209737
1.62,-0.6,0.27213529118812074
1.62,-0.4,0.273445127229155
1.62,-0.2,0.2747549579437433
1.62,0.0,0.2760647833315527
1.62,0.2,0.2773746033922504
1.62,0.4,0.27868441812550354
1.62,0.6,0.2799942275309791
1.62,0.8,0.2813040316083446
1.62,1.0,0.28261383035726795
1.62,1.2,0.2839236237774163
1.62,1.4,0.2852334118684573
1.62,1.6,0.2865431946300589
1.62,1.8,0.2878529720618889
1.62,2.0,0.28916274416361537
1.62,2.2,0.2904725109349065
1.62,2.4,0.2917822723754303
1.62,2.6,0.29309202848485494
1.62,2.8,0.2944017792628491
1.62,3.0,0.2957115247090811
1.62,3.2,0.2970212648232197
1.62,3.4,0.2983309996049333
1.62,3.6,0.299640729053891
1.62,3.8,0.3009504531697615
1.62,4.0,0.30226017195221394
1.62,4.2,0.3035698854009172
1.62,4.4,0.3048795935155408
1.62,4.6,0.3061892962957537
1.62,4.8,0.3074989937412256
1.62,5.0,0.3088086858516257
1.62,5.2,0.310118372626624
1.62,5.4,0.31142805406588975
1.62,5.6,0.3127377301690933
1.62,5.8,0.31404740093590394
1.62,6.0,0.315357066365992
1.62,6.2,0.3166667264590277
1.62,6.4,0.3179763812146811
1.62,6.6,0.3192860306326226
1.62,6.8,0.32059567471252237
1.62,7.0,0.32190531345405127
1.62,7.2,0.3232149468568797
1.62,7.4,0.3245245749206785
1.62,7.6,0.3258341976451183
1.62,7.8,0.32714381502987033
1.62,8.0,0.3284534270746053
1.62,8.2,0.32976303377899463
1.62,8.4,0.3310726351427093
1.62,8.6,0.3323822311654207
1.62,8.8,0.3336918218468004
1.62,9.0,0.3350014071865196
1.62,9.2,0.3363109871842504
1.62,9.4,0.33762056183966427
1.62,9.6,0.33893013115243303
1.62,9.8,0.3402396951222288
1.62,10.0,0.3415492537487234
1.62,10.2,0.342858807031589
1.62,10.4,0.344168354970498
1.62,10.6,0.3467977816011467
1.62,10.8,0.3655908794229052
1.62,11.0,0.3839215020086642
1.62,11.2,0.40237514319708967
1.62,11.4,0.43953500457513384
1.62,11.6,0.4786414878067039
1.62,11.8,0.521482137253
1.62,12.0,0.5729959212636018
1.62,12.2,0.6276501335319793
1.62,12.4,0.6875823903689608
1.62,12.6,0.7510573942068636
1.62,12.8,0.8189077756088438
1.62,13.0,0.8902095268994392
1.62,13.2,0.9643583428144997
1.62,13.4,1.0418924018620486
1.62,13.6,1.1227443269468524
1.62,13.8,1.20611838005271
1.62,14.0,1.2920449237201646
1.62,14.2,1.380384655897476
1.62,14.4,1.4709805996729364
1.62,14.6,1.563800266215085
1.62,14.8,1.658629448320581
1.62,15.0,1.7553436885905163
1.7,-4.0,0.24930625415053273
1.7,-3.8,0.25062375462038217
1.7,-3.6,0.2519412496641363
1.7,-3.4,0.2532587392814513
1.7,-3.2,0.254576223471983
1.7,-3.0,0.25589370223538743
1.7,-2.8,0.25721117557132067
1.7,-2.6,0.25852864347943905
1.7,-2.4,0.259846105959399
1.7,-2.2,0.261163563010857
1.7,-2.0,0.2624810146334696
1.7,-1.8,0.26379846082689334
1.7,-1.6,0.26511590159078524
1.7,-1.4,0.2664333369248021
1.7,-1.2,0.2677507668286008
1.7,-1.0,0.26906819130183857
1.7,-0.8,0.2703856103441726
1.7,-0.6,0.27170302395526025
1.7,-0.4,0.27302043213475885
1.7,-0.2,0.2743378348823259
1.7,0.0,0.2756552321976192
1.7,0.2,0.2769726240802962
1.7,0.4,0.27829001053001495
1.7,0.6,0.2796073915464333
1.7,0.8,0.2809247671292094
1.7,1.0,0.28224213727800135
1.7,1.2,0.2835595019924674
1.7,1.4,0.28487686127226575
1.7,1.6,0.286194215117055
1.7,1.8,0.2875115635264938
1.7,2.0,0.28882890650024085
1.7,2.2,0.2901462440379546
1.7,2.4,0.2914635761392943
1.7,2.6,0.2927809028039189
1.7,2.8,0.2940982240314872
1.7,3.0,0.29541553982165875
1.7,3.2,0.2967328501740926
1.7,3.4,0.29805015508844834
1.7,3.6,0.29936745456438546
1.7,3.8,0.30068474860156347
1.7,4.0,0.3020020371996421
1.7,4.2,0.3033193203582814
1.7,4.4,0.304636598077141
1.7,4.6,0.3059538703558811
1.7,4.8,0.307271137194162
1.7,5.0,0.3085883985916437
1.7,5.2,0.3099056545479867
1.7,5.4,0.3112229050628514
1.7,5.6,0.31254015013589836
1.7,5.8,0.3138573897667883
1.7,6.0,0.315174623955182
1.7,6.2,0.3164918527007403
1.7,6.4,0.3178090760031243
1.7,6.6,0.3191262938619951
1.7,6.8,0.3204435062770137
1.7,7.0,0.32176071324784167
1.7,7.2,0.3230779147741403
1.7,7.4,0.32439511085557104
1.7,7.6,0.32571230149179564
1.7,7.8,0.32702948668247583
1.7,8.0,0.3283466664272734
1.7,8.2,0.3296638407258503
1.7,8.4,0.3309810095778685
1.7,8.6,0.3322981729829905
1.7,8.8,0.3336153309408782
1.7,9.0,0.334932483451194
1.7,9.2,0.33624963051360046
1.7,9.4,0.3375667721277604
1.7,9.6,0.3388839082933359
1.7,9.8,0.34020103900999044
1.7,10.0,0.34151816427738646
1.7,10.2,0.34283528409518726
1.7,10.4,0.3441523984630558
1.7,10.6,0.346785985721552
1.7,10.8,0.36558243141663577
1.7,11.0,0.3839165779142728
1.7,11.2,0.4023732295292372
1.7,11.4,0.4395336339188786
1.7,11.6,0.47864076007437917
1.7,11.8,0.521481850166069
1.7,12.0,0.572995750552308
1.7,12.2,0.6276500439511631
1.7,12.4,0.6875823367057277
1.7,12.6,0.751057367710654
1.7,12.8,0.8189077661495507
1.7,13.0,0.8902095229405105
1.7,13.2,0.9643583372981246
1.7,13.4,1.0418923955908916
1.7,13.6,1.1227443249154387
1.7,13.8,1.2061183797785096
1.7,14.0,1.292044923666584
1.7,14.2,1.380384655859031
1.7,14.4,1.470980599655015
1.7,14.6,1.563800266206713
1.7,14.8,1.6586294483166473
1.7,15.0,1.7553436885886076
1.78,-3.8,0.25005905938030715
1.78,-3.6,0.2513842801387515
1.78,-3.4,0.2527094953638588
1.78,-3.2,0.25403470505527515
1.78,-3.0,0.2553599092126473
1.78,-2.8,0.2566851078356215
1.78,-2.6,0.2580103009238446
1.78,-2.4,0.25933548847696347
1.78,-2.2,0.26066067049462494
1.78,-2.0,0.2619858469764759
1.78,-1.8,0.2633110179221637
1.78,-1.6,0.26463618333133543
1.78,-1.4,0.2659613432036384
1.78,-1.2,0.26728649753872
1.78,-1.0,0.26861164633622814
1.78,-0.8,0.2699367895958101
1.78,-0.6,0.2712619273171137
1.78,-0.4,0.272587059499787
1.78,-0.2,0.27391218614347795
1.78,0.0,0.27523730724783446
1.78,0.2,0.2765624228125051
1.78,0.4,0.27788753283713774
1.78,0.6,0.27921263732138113
1.78,0.8,0.28053773626488376
1.78,1.0,0.28186282966729415
1.78,1.2,0.2831879175282611
