Composition = 75% Sio2, 25% Water
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.14,-6.0,0.2554566096309605
1.14,-5.8,0.2554566096309605
1.14,-5.6,0.2554566096309605
1.14,-5.4,0.2554566096309605
1.14,-5.2,0.2554566096309605
1.14,-5.0,0.2554566096309605
1.14,-4.8,0.2554566096309605
1.14,-4.6,0.2554566096309605
1.14,-4.4,0.2554566096309605
1.14,-4.2,0.2554566096309605
1.14,-4.0,0.2554566096309605
1.14,-3.8,0.25671374614580234
1.14,-3.6,0.2579708781114541
1.14,-3.4,0.2592280055279354
1.14,-3.2,0.2604851283952659
1.14,-3.0,0.2617422467134656
1.14,-2.8,0.2629993604825542
1.14,-2.6,0.26425646970255184
1.14,-2.4,0.2655135743734787
1.14,-2.2,0.266770674495355
1.14,-2.0,0.2680277700682011
1.14,-1.8,0.2692848610920373
1.14,-1.6,0.27054194756688404
1.14,-1.4,0.2717990294927621
1.14,-1.2,0.2730561068696922
1.14,-1.0,0.27431317969769503
1.14,-0.8,0.2755702479767913
1.14,-0.6,0.2768273117070025
1.14,-0.4,0.27808437088834914
1.14,-0.2,0.2793414255208528
1.14,0.0,0.28059847560453466
1.14,0.2,0.2818555211394159
1.14,0.4,0.2831125621255182
1.14,0.6,0.28436959856286304
1.14,0.8,0.285626630451472
1.14,1.0,0.28688365779136693
1.14,1.2,0.28814068058256964
1.14,1.4,0.2893976988251021
1.14,1.6,0.2906547125189861
1.14,1.8,0.2919117216642441
1.14,2.0,0.2931687262608983
1.14,2.2,0.29442572630897085
1.14,2.4,0.29568272180848415
1.14,2.6,0.2969397127594608
1.14,2.8,0.2981966991619234
1.14,3.0,0.29945368101589454
1.14,3.2,0.30071065832139715
1.14,3.4,0.3019676310784542
1.14,3.6,0.30322459928708845
1.14,3.8,0.304481562947323
1.14,4.0,0.3057385220591811
1.14,4.2,0.3069954766226861
1.14,4.4,0.3082524266378613
1.14,4.6,0.30950937210472995
1.14,4.8,0.31076631302331603
1.14,5.0,0.3120232493936428
1.14,5.2,0.3132801812157341
1.14,5.4,0.31453710848961397
1.14,5.6,0.3157940312153061
1.14,5.8,0.3170509493928347
1.14,6.0,0.31830786302222375
1.14,6.2,0.31956477210349754
1.14,6.4,0.3208216766366805
1.14,6.6,0.32207857662179673
1.14,6.8,0.3233354720588711
1.14,7.0,0.3245923629479279
1.14,7.2,0.3258492492889921
1.14,7.4,0.32710613108208836
1.14,7.6,0.3283630083272414
1.14,7.8,0.3296198810244764
1.14,8.0,0.3308767491738184
1.14,8.2,0.3321336127752927
1.14,8.4,0.3333904718289244
1.14,8.6,0.3346473263347388
1.14,8.8,0.33590417629276154
1.14,9.0,0.33716102170301804
1.14,9.2,0.3384178625655341
1.14,9.4,0.33967469888033525
1.14,9.6,0.3409315306474474
1.14,9.8,0.34218835786689655
1.14,10.0,0.3434451805387088
1.14,10.2,0.34470199866291007
1.14,10.4,0.3459588122395267
1.14,10.6,0.348260455649555
1.14,10.8,0.363261334429432
1.14,11.0,0.3777818208288155
1.14,11.2,0.39267436465900873
1.14,11.4,0.4300470618304042
1.14,11.6,0.4690077090191318
1.14,11.8,0.510960421061561
1.14,12.0,0.5621005359508815
1.14,12.2,0.6156627949794636
1.14,12.4,0.6756377446356678
1.14,12.6,0.7383924627168384
1.14,12.8,0.8060282092626956
1.14,13.0,0.8769698715511016
1.14,13.2,0.950862549244581
1.14,13.4,1.0282240432762646
1.14,13.6,1.1089603837267838
1.14,13.8,1.192291242511403
1.14,14.0,1.2781694226827334
1.14,14.2,1.3665051329628246
1.14,14.4,1.4571820428280726
1.14,14.6,1.5501907480141417
1.14,14.8,1.6452554363264016
1.14,15.0,1.7422130791923165
1.14,15.2,1.8409457244584486
1.14,15.4,1.9413364302760767
1.22,-6.0,0.2549604021677151
1.22,-5.8,0.2549604021677151
1.22,-5.6,0.2549604021677151
1.22,-5.4,0.2549604021677151
1.22,-5.2,0.2549604021677151
1.22,-5.0,0.2549604021677151
1.22,-4.8,0.2549604021677151
1.22,-4.6,0.2549604021677151
1.22,-4.4,0.2549604021677151
1.22,-4.2,0.2549604021677151
1.22,-4.0,0.2549604021677151
1.22,-3.8,0.25622421323469324
1.22,-3.6,0.25748801966000806
1.22,-3.4,0.2587518214436797
1.22,-3.2,0.26001561858572847
1.22,-3.0,0.26127941108617486
1.22,-2.8,0.2625431989450392
1.22,-2.6,0.26380698216234233
1.22,-2.4,0.2650707607381047
1.22,-2.2,0.2663345346723474
1.22,-2.0,0.267598303965091
1.22,-1.8,0.2688620686163568
1.22,-1.6,0.27012582862616563
1.22,-1.4,0.2713895839945388
1.22,-1.2,0.2726533347214977
1.22,-1.0,0.27391708080706356
1.22,-0.8,0.27518082225125806
1.22,-0.6,0.2764445590541026
1.22,-0.4,0.27770829121561896
1.22,-0.2,0.2789720187358289
1.22,0.0,0.2802357416147543
1.22,0.2,0.28149945985241726
1.22,0.4,0.28276317344883983
1.22,0.6,0.28402688240404395
1.22,0.8,0.2852905867180523
1.22,1.0,0.2865542863908869
1.22,1.2,0.2878179814225706
1.22,1.4,0.2890816718131256
1.22,1.6,0.29034535756257496
1.22,1.8,0.291609038670941
1.22,2.0,0.29287271513824725
1.22,2.2,0.29413638696451605
1.22,2.4,0.2954000541497707
1.22,2.6,0.2966637166940346
1.22,2.8,0.2979273745973307
1.22,3.0,0.2991910278596826
1.22,3.2,0.30045467648111346
1.22,3.4,0.3017183204616474
1.22,3.6,0.3029819598013076
1.22,3.8,0.304245594500118
1.22,4.0,0.30550922455810253
1.22,4.2,0.3067728499752852
1.22,4.4,0.30803647075168983
1.22,4.6,0.30930008688734073
1.22,4.8,0.31056369838226233
1.22,5.0,0.3118273052364788
1.22,5.2,0.31309090745001456
1.22,5.4,0.31435450502289425
1.22,5.6,0.3156180979551427
1.22,5.8,0.31688168624678437
1.22,6.0,0.3181452698978443
1.22,6.2,0.31940884890834753
1.22,6.4,0.3206724232783189
1.22,6.6,0.3219359930077837
1.22,6.8,0.32319955809676715
1.22,7.0,0.32446311854529475
1.22,7.2,0.32572667435339164
1.22,7.4,0.3269902255210837
1.22,7.6,0.3282537720483963
1.22,7.8,0.3295173139353555
1.22,8.0,0.33078085118198686
1.22,8.2,0.33204438378831647
1.22,8.4,0.33330791175437047
1.22,8.6,0.33457143508017484
1.22,8.8,0.33583495376575595
1.22,9.0,0.33709846781113995
1.22,9.2,0.3383619772163535
1.22,9.4,0.3396254819814231
1.22,9.6,0.34088898210637536
1.22,9.8,0.342152477591237
1.22,10.0,0.3434159684360349
1.22,10.2,0.34467945464079597
1.22,10.4,0.34594293620554734
1.22,10.6,0.3482509376946255
1.22,10.8,0.36325483068872905
1.22,11.0,0.37777853869423567
1.22,11.2,0.392674337640774
