Composition = 95% Water, 5% env
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.62,-2.4,-10.273533890158943
1.62,-2.2,-10.073533890171328
1.62,-2.0,-9.873533890190894
1.62,-1.8,-9.673533890221808
1.62,-1.6,-9.473533890270653
1.62,-1.4,-9.273533890347826
1.62,-1.2,-9.07353389046976
1.62,-1.0,-8.873533890662411
1.62,-0.8,-8.6735338909668
1.62,-0.6,-8.47353389144773
1.62,-0.4,-8.273533892207588
1.62,-0.2,-8.073533893408156
1.62,0.0,-7.873533895305029
1.62,0.2,-7.673533898302065
1.62,0.4,-7.473533903037332
1.62,0.6,-7.273533910518979
1.62,0.8,-7.073533922339866
1.62,1.0,-6.873533941016682
1.62,1.2,-6.6735339705257575
1.62,1.4,-6.473534017149633
1.62,1.6,-6.2735340908146195
1.62,1.8,-6.073534207204124
1.62,2.0,-5.873534391097662
1.62,2.2,-5.673534681646425
1.62,2.4,-5.473535140708541
1.62,2.6,-5.273535866018535
1.62,2.8,-5.073537011994542
1.62,3.0,-4.8735388226125975
1.62,3.2,-4.673541683345493
1.62,3.4,-4.47354620322044
1.62,3.6,-4.273553344456477
1.62,3.8,-4.073564627258696
1.62,4.0,-3.8735824533127934
1.62,4.2,-3.6736106167089857
1.62,4.4,-3.4736551107135725
1.62,4.6,-3.273825357174907
1.62,4.8,-3.0744360184888313
1.62,5.0,-2.8774080865164233
1.62,5.2,-2.688364663510059
1.62,5.4,-2.518511501184218
1.62,5.6,-2.3755277388342977
1.62,5.8,-2.25639420586294
1.7,-6.0,-13.953533890137596
1.7,-5.8,-13.753533890137598
1.7,-5.6,-13.553533890137603
1.7,-5.4,-13.353533890137609
1.7,-5.2,-13.15353389013762
1.7,-5.0,-12.953533890137637
1.7,-4.8,-12.753533890137664
1.7,-4.6,-12.553533890137706
1.7,-4.4,-12.353533890137774
1.7,-4.2,-12.153533890137881
1.7,-4.0,-11.953533890138049
1.7,-3.8,-11.753533890138314
1.7,-3.6,-11.553533890138734
1.7,-3.4,-11.353533890139397
1.7,-3.2,-11.153533890140444
1.7,-3.0,-10.953533890142099
1.7,-2.8,-10.753533890144714
1.7,-2.6,-10.553533890148845
1.7,-2.4,-10.353533890155372
1.7,-2.2,-10.153533890165685
1.7,-2.0,-9.953533890181976
1.7,-1.8,-9.75353389020772
1.7,-1.6,-9.55353389024839
1.7,-1.4,-9.353533890312649
1.7,-1.2,-9.153533890414176
1.7,-1.0,-8.953533890574581
1.7,-0.8,-8.753533890828017
1.7,-0.6,-8.553533891228431
1.7,-0.4,-8.35353389186107
1.7,-0.2,-8.153533892860613
1.7,0.0,-7.953533894439844
1.7,0.2,-7.753533896934961
1.7,0.4,-7.553533900877132
1.7,0.6,-7.3535339071055885
1.7,0.8,-7.153533916946273
1.7,1.0,-6.953533932494113
1.7,1.2,-6.753533957059011
1.7,1.4,-6.55353399587045
1.7,1.6,-6.3535340571907915
1.7,1.8,-6.153534154074184
1.7,2.0,-5.953534307145592
1.7,2.2,-5.753534548991492
1.7,2.4,-5.55353493109698
1.7,2.6,-5.353535534805961
1.7,2.8,-5.1535364886375765
1.7,3.0,-4.953537995644816
1.7,3.2,-4.753540376638536
1.7,3.4,-4.553544138476058
1.7,3.6,-4.353550081945533
1.7,3.8,-4.153559472197055
1.7,4.0,-3.9535743079628127
1.7,4.2,-3.7535977467796733
1.7,4.4,-3.5536347764893215
1.7,4.6,-3.3537092139957085
1.7,4.8,-3.1540015042513283
1.7,5.0,-2.9554302769699756
1.7,5.2,-2.7610522667532673
1.7,5.4,-2.5793708879034503
1.7,5.6,-2.420979685175303
1.7,5.8,-2.288554790076043
1.78,-3.8,-11.833533890138193
1.78,-3.6,-11.633533890138542
1.78,-3.4,-11.433533890139095
1.78,-3.2,-11.233533890139968
1.78,-3.0,-11.033533890141346
1.78,-2.8,-10.833533890143524
1.78,-2.6,-10.633533890146962
1.78,-2.4,-10.433533890152399
1.78,-2.2,-10.233533890160986
1.78,-2.0,-10.033533890174553
1.78,-1.8,-9.833533890195989
1.78,-1.6,-9.633533890229854
1.78,-1.4,-9.43353389028336
1.78,-1.2,-9.233533890367898
1.78,-1.0,-9.033533890501456
1.78,-0.8,-8.833533890712472
1.78,-0.6,-8.63353389104586
1.78,-0.4,-8.43353389157259
1.78,-0.2,-8.233533892404784
1.78,0.0,-8.033533893719586
1.78,0.2,-7.833533895796879
1.78,0.4,-7.633533899078848
1.78,0.6,-7.433533904264117
1.78,0.8,-7.233533912456457
1.78,1.0,-7.0335339253997455
1.78,1.2,-6.8335339458491875
1.78,1.4,-6.6335339781577884
1.78,1.6,-6.433534029202985
1.78,1.8,-6.233534109850607
1.78,2.0,-6.033534237267857
1.78,2.2,-5.833534438577613
1.78,2.4,-5.633534756631946
1.78,2.6,-5.433535259133795
1.78,2.8,-5.233536053048367
1.78,3.0,-5.0335373073717165
1.78,3.2,-4.833539289102457
1.78,3.4,-4.63354242007203
1.78,3.6,-4.43354736672639
1.78,3.8,-4.2335551819596
1.78,4.0,-4.03356752916345
1.78,4.2,-3.8335870361169437
1.78,4.4,-3.633617853875161
1.78,4.6,-3.4336665391974437
1.78,4.8,-3.233843399049439
1.78,5.0,-3.0344644717670173
1.78,5.2,-2.837252954505047
1.78,5.4,-2.647435230098368
1.78,5.6,-2.475122282788911
1.78,5.8,-2.3279971463462603
1.86,-3.8,-11.913533890138094
1.86,-3.6,-11.713533890138383
1.86,-3.4,-11.513533890138843
1.86,-3.2,-11.31353389013957
1.86,-3.0,-11.113533890140717
1.86,-2.8,-10.913533890142531
1.86,-2.6,-10.713533890145396
1.86,-2.4,-10.513533890149922
1.86,-2.2,-10.313533890157075
1.86,-2.0,-10.113533890168371
1.86,-1.8,-9.91353389018622
1.86,-1.6,-9.713533890214421
1.86,-1.4,-9.513533890258977
1.86,-1.2,-9.313533890329367
1.86,-1.0,-9.113533890440577
1.86,-0.8,-8.913533890616277
1.86,-0.6,-8.713533890893864
1.86,-0.4,-8.513533891332422
1.86,-0.2,-8.313533892025301
1.86,0.0,-8.113533893119975
1.86,0.2,-7.913533894849449
1.86,0.4,-7.7135338975818355
1.86,0.6,-7.5135339018987235
1.86,0.8,-7.3135339087189575
1.86,1.0,-7.113533919494215
1.86,1.2,-6.913533936518003
1.86,1.4,-6.713533963413812
1.86,1.6,-6.513534005906391
1.86,1.8,-6.313534073040235
1.86,2.0,-6.113534179104702
1.86,2.2,-5.9135343466754735
1.86,2.4,-5.713534611419724
1.86,2.6,-5.513535029687764
1.86,2.8,-5.313535690506928
1.86,3.0,-5.113536734530399
1.86,3.2,-4.91353838397374
1.86,3.4,-4.71354098990983
1.86,3.6,-4.51354510698584
1.86,3.8,-4.313551611458022
1.86,4.0,-4.113561887648756
1.86,4.2,-3.9135781224653705
1.86,4.4,-3.713603770549643
1.86,4.6,-3.5136442887674786
1.86,4.8,-3.3137242337286406
1.86,5.0,-3.1141092104090715
1.86,5.2,-2.9153676880181005
1.86,5.4,-2.7207110546693456
1.86,5.6,-2.537463674567874
1.86,5.8,-2.375624775139098
1.94,-3.8,-11.993533890138009
1.94,-3.6,-11.793533890138251
1.94,-3.4,-11.593533890138634
1.94,-3.2,-11.39353389013924
1.94,-3.0,-11.193533890140195
1.94,-2.8,-10.993533890141705
1.94,-2.6,-10.793533890144092
1.94,-2.4,-10.593533890147862
1.94,-2.2,-10.393533890153817
1.94,-2.0,-10.193533890163225
1.94,-1.8,-9.993533890178089
1.94,-1.6,-9.793533890201571
1.94,-1.4,-9.593533890238673
1.94,-1.2,-9.393533890297288
1.94,-1.0,-9.193533890389888
1.94,-0.8,-8.993533890536188
1.94,-0.6,-8.793533890767321
1.94,-0.4,-8.59353389113248
1.94,-0.2,-8.393533891709382
1.94,0.0,-8.193533892620806
1.94,0.2,-7.993533894060738
1.94,0.4,-7.793533896335632
1.94,0.6,-7.593533899929661
1.94,0.8,-7.393533905607742
1.94,1.0,-7.193533914578341
1.94,1.2,-6.993533928750678
1.94,1.4,-6.7935339511410575
1.94,1.6,-6.593533986514836
1.94,1.8,-6.393534042400627
1.94,2.0,-6.193534130692624
1.94,2.2,-5.9935342701820336
1.94,2.4,-5.793534490556394
1.94,2.6,-5.593534838717925
1.94,2.8,-5.393535388765612
1.94,3.0,-5.193536257765338
1.94,3.2,-4.993537630664137
1.94,3.4,-4.7935397996501985
1.94,3.6,-4.593543226333514
1.94,3.8,-4.393548639975808
1.94,4.0,-4.193557192662838
1.94,4.2,-3.9935707044113884
1.94,4.4,-3.7935920502947718
1.94,4.6,-3.593625771773089
1.94,4.8,-3.393679041824536
1.94,5.0,-3.193863135228583
1.94,5.2,-2.994495594556141
1.94,5.4,-2.7971179736848972
1.94,5.6,-2.6065125793075308
1.94,5.8,-2.4316446982789985
2.02,-3.6,-11.873533890138141
2.02,-3.4,-11.67353389013846
2.02,-3.2,-11.473533890138965
2.02,-3.0,-11.27353389013976
2.02,-2.8,-11.073533890141018
2.02,-2.6,-10.873533890143005
2.02,-2.4,-10.673533890146144
2.02,-2.2,-10.473533890151105
2.02,-2.0,-10.273533890158939
2.02,-1.8,-10.073533890171317
2.02,-1.6,-9.873533890190872
2.02,-1.4,-9.67353389022177
2.02,-1.2,-9.473533890270579
2.02,-1.0,-9.273533890347688
2.02,-0.8,-9.073533890469509
2.02,-0.6,-8.873533890661966
2.02,-0.4,-8.673533890966016
2.02,-0.2,-8.473533891446365
2.02,0.0,-8.273533892205236
2.02,0.2,-8.073533893404127
2.02,0.4,-7.873533895298172
2.02,0.6,-7.673533898290452
2.02,0.8,-7.473533903017755
2.02,1.0,-7.2735339104861065
2.02,1.2,-7.07353392228486
2.02,1.4,-6.873533940924927
2.02,1.6,-6.673533970373132
2.02,1.8,-6.473534016896393
2.02,2.0,-6.2735340903953976
2.02,2.2,-6.073534206511573
2.02,2.4,-5.873534389955754
2.02,2.6,-5.673534679766888
2.02,2.8,-5.473535137619879
2.02,3.0,-5.2735358609504654
2.02,3.2,-5.073537003690021
2.02,3.4,-4.873538809022314
2.02,3.6,-4.673541661131752
2.02,3.8,-4.473546166952089
2.02,4.0,-4.27355328530348
2.02,4.2,-4.073564530876885
2.02,4.4,-3.8735822964189444
2.02,4.6,-3.673610361539476
2.02,4.8,-3.4736546960661077
2.02,5.0,-3.2737406655149064
2.02,5.2,-3.074135135762677
2.02,5.4,-2.8754085094575204
2.02,5.6,-2.6802755814797883
2.02,5.8,-2.4955656114339946
2.1,-3.6,-11.950629606828933
2.1,-3.4,-11.7506296068292
2.1,-3.2,-11.550629606829622
2.1,-3.0,-11.35062960683029
2.1,-2.8,-11.150629606831345
2.1,-2.6,-10.950629606833012
2.1,-2.4,-10.750629606835643
2.1,-2.2,-10.5506296068398
2.1,-2.0,-10.35062960684637
2.1,-1.8,-10.150629606856747
2.1,-1.6,-9.950629606873143
2.1,-1.4,-9.750629606899045
2.1,-1.2,-9.550629606939962
2.1,-1.0,-9.350629607004604
2.1,-0.8,-9.150629607106726
2.1,-0.6,-8.95062960726806
2.1,-0.4,-8.750629607522933
2.1,-0.2,-8.55062960792558
2.1,0.0,-8.35062960856169
2.1,0.2,-8.15062960956661
2.1,0.4,-7.950629611154189
2.1,0.6,-7.750629613662247
2.1,0.8,-7.55062961762448
2.1,1.0,-7.350629623884026
2.1,1.2,-7.150629633772863
2.1,1.4,-6.950629649395267
2.1,1.6,-6.750629674075564
2.1,1.8,-6.550629713065535
2.1,2.0,-6.350629774661949
2.1,2.2,-6.15062987197205
2.1,2.4,-5.950630025702663
2.1,2.6,-5.750630268566432
2.1,2.8,-5.550630652242742
2.1,3.0,-5.350631258374525
2.1,3.2,-5.150632215940802
2.1,3.4,-4.9506337287013
2.1,3.6,-4.750636118552116
2.1,3.8,-4.5506398940156165
2.1,4.0,-4.350645858432263
2.1,4.2,-4.150655280860699
2.1,4.4,-3.9506701660122694
2.1,4.6,-3.7506936805599302
2.1,4.8,-3.5507308262872264
2.1,5.0,-3.3508055371865977
2.1,5.2,-3.150914248870425
2.1,5.4,-2.9510606152693013
2.1,5.6,-2.7514076230639146
2.1,5.8,-2.551804442970384
2.1,6.0,-2.3525277163901186
2.1,6.2,-2.1536145707007126
2.1,6.4,-1.9552864814519697
2.1,6.6,-1.7580202142444574
2.1,6.8,-1.5622504230602172
2.1,7.0,-1.3688150810950925
2.1,7.2,-1.1790968469615584
2.1,7.4,-0.9949185711928601
2.1,7.6,-0.8190218862329237
2.1,7.8,-0.65509434557166
2.1,8.0,-0.5079801890833151
2.1,8.2,-0.38311872170863276
2.1,8.4,-0.28473144690542906
2.1,8.6,-0.212282179558886
2.1,8.8,-0.15991707535712196
2.1,9.0,-0.1208127033188739
2.1,9.2,-0.09065417486342256
2.1,9.4,-0.06654765819797546
2.1,9.6,-0.04647912641993823
2.1,9.8,-0.029011287460364764
2.18,-3.4,-11.83062960682908
2.18,-3.2,-11.63062960682943
2.18,-3.0,-11.430629606829987
2.18,-2.8,-11.230629606830863
2.18,-2.6,-11.030629606832255
2.18,-2.4,-10.830629606834446
2.18,-2.2,-10.630629606837907
2.18,-2.0,-10.430629606843379
2.18,-1.8,-10.230629606852021
2.18,-1.6,-10.030629606865675
2.18,-1.4,-9.830629606887246
2.18,-1.2,-9.63062960692132
2.18,-1.0,-9.43062960697515
2.18,-0.8,-9.230629607060193
2.18,-0.6,-9.030629607194536
2.18,-0.4,-8.830629607406768
2.18,-0.2,-8.630629607742046
2.18,0.0,-8.43062960827171
2.18,0.2,-8.230629609108455
2.18,0.4,-8.030629610430319
2.18,0.6,-7.8306296125185595
2.18,0.8,-7.6306296158174955
2.18,1.0,-7.430629621029055
2.18,1.2,-7.230629629262115
2.18,1.4,-7.03062964226845
2.18,1.6,-6.830629662815456
2.18,1.8,-6.630629695274979
2.18,2.0,-6.430629746553528
2.18,2.2,-6.230629827561786
2.18,2.4,-6.030629955536103
2.18,2.6,-5.830630157705905
2.18,2.8,-5.630630477087332
2.18,3.0,-5.430630981635782
2.18,3.2,-5.23063177870467
2.18,3.4,-5.030633037886539
2.18,3.6,-4.8306350270957825
2.18,3.8,-4.630638169568634
2.18,4.0,-4.430643133904001
2.18,4.2,-4.230650976292287
2.18,4.4,-4.030663365166883
2.18,4.6,-3.8306829360087864
