Composition = 66% Sio2, 33% Water
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.14,-6.0,0.22916533010534026
1.14,-5.8,0.22916533010534026
1.14,-5.6,0.22916533010534026
1.14,-5.4,0.22916533010534026
1.14,-5.2,0.22916533010534026
1.14,-5.0,0.22916533010534026
1.14,-4.8,0.22916533010534026
1.14,-4.6,0.22916533010534026
1.14,-4.4,0.22916533010534026
1.14,-4.2,0.22916533010534026
1.14,-4.0,0.22916533010534026
1.14,-3.8,0.23042855081304056
1.14,-3.6,0.2316917670305679
1.14,-3.4,0.232954978757816
1.14,-3.2,0.2342181859946784
1.14,-3.0,0.2354813887410488
1.14,-2.8,0.23674458699682113
1.14,-2.6,0.23800778076188955
1.14,-2.4,0.23927097003614786
1.14,-2.2,0.24053415481949017
1.14,-2.0,0.24179733511181087
1.14,-1.8,0.2430605109130041
1.14,-1.6,0.24432368222296424
1.14,-1.4,0.24558684904158604
1.14,-1.2,0.24685001136876392
1.14,-1.0,0.24811316920439241
1.14,-0.8,0.24937632254836645
1.14,-0.6,0.25063947140058085
1.14,-0.4,0.2519026157609305
1.14,-0.2,0.25316575562931043
1.14,0.0,0.2544288910056159
1.14,0.2,0.255692021889742
1.14,0.4,0.2569551482815841
1.14,0.6,0.2582182701810375
1.14,0.8,0.25948138758799777
1.14,1.0,0.2607445005023604
1.14,1.2,0.26200760892402114
1.14,1.4,0.2632707128528757
1.14,1.6,0.26453381228881995
1.14,1.8,0.2657969072317498
1.14,2.0,0.26705999768156136
1.14,2.2,0.26832308363815066
1.14,2.4,0.2695861651014139
1.14,2.6,0.27084924207124744
1.14,2.8,0.27211231454754764
1.14,3.0,0.273375382530211
1.14,3.2,0.27463844601913395
1.14,3.4,0.2759015050142134
1.14,3.6,0.277164559515346
1.14,3.8,0.27842760952242845
1.14,4.0,0.2796906550353579
1.14,4.2,0.2809536960540312
1.14,4.4,0.2822167325783456
1.14,4.6,0.2834797646081981
1.14,4.8,0.2847427921434865
1.14,5.0,0.28600581518410745
1.14,5.2,0.28726883372995904
1.14,5.4,0.28853184778093854
1.14,5.6,0.28979485733694355
1.14,5.8,0.29105786239787224
1.14,6.0,0.2923208629636218
1.14,6.2,0.2935838590340908
1.14,6.4,0.2948468506091768
1.14,6.6,0.29610983768877824
1.14,6.8,0.29737282027279305
1.14,7.0,0.2986357983611197
1.14,7.2,0.29989877195365644
