Composition = 90% Water, 10% env
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.14,-6.0,-13.69546388580158
1.14,-5.8,-13.495463885801584
1.14,-5.6,-13.295463885801592
1.14,-5.4,-13.095463885801605
1.14,-5.2,-12.895463885801622
1.14,-5.0,-12.69546388580165
1.14,-4.8,-12.495463885801696
1.14,-4.6,-12.295463885801768
1.14,-4.4,-12.095463885801884
1.14,-4.2,-11.895463885802064
1.14,-4.0,-11.695463885802353
1.14,-3.8,-11.495463885802803
1.14,-3.6,-11.295463885803517
1.14,-3.4,-11.095463885804646
1.14,-3.2,-10.895463885806429
1.14,-3.0,-10.695463885809247
1.14,-2.8,-10.495463885813699
1.14,-2.6,-10.295463885820734
1.14,-2.4,-10.095463885831851
1.14,-2.2,-9.895463885849416
1.14,-2.0,-9.695463885877173
1.14,-1.8,-9.495463885921032
1.14,-1.6,-9.295463885990337
1.14,-1.4,-9.095463886099848
1.14,-1.2,-8.895463886272891
1.14,-1.0,-8.695463886546326
1.14,-0.8,-8.495463886978392
1.14,-0.6,-8.29546388766112
1.14,-0.4,-8.095463888739932
1.14,-0.2,-7.895463890444611
1.14,0.0,-7.695463893138256
1.14,0.2,-7.495463897394609
1.14,0.4,-7.2954639041202745
1.14,0.6,-7.095463914747813
1.14,0.8,-6.895463931540883
1.14,1.0,-6.6954639580764015
1.14,1.2,-6.495464000006417
1.14,1.4,-6.295464066261994
1.14,1.6,-6.09546417095552
1.14,1.8,-5.89546433638662
1.14,2.0,-5.695464597791939
1.14,2.2,-5.49546501085043
1.14,2.4,-5.295465663542735
1.14,2.6,-5.095466694890475
1.14,2.8,-4.895468324566447
1.14,3.0,-4.695470899681464
1.14,3.2,-4.495474968710424
1.14,3.4,-4.295481398296324
1.14,3.6,-4.0954915577927
1.14,3.8,-3.89550761080524
1.14,4.0,-3.6947331030896318
1.14,4.2,-3.4952731284040297
1.14,4.4,-3.298435265130948
1.14,4.6,-3.1117265556729423
1.14,4.8,-2.949144731134423
1.14,5.0,-2.817278378569076
1.14,5.2,-2.7099207952691593
1.14,5.4,-2.6180732178902164
1.14,5.6,-2.5353403147669953
1.14,5.8,-2.4579275949459736
1.22,-6.0,-13.774995777882795
1.22,-5.8,-13.574911728553218
1.22,-5.6,-13.374911728553224
1.22,-5.4,-13.174911728553235
1.22,-5.2,-12.974911728553248
1.22,-5.0,-12.774995777882854
1.22,-4.8,-12.57491172855331
1.22,-4.6,-12.374911728553371
1.22,-4.4,-12.174911728553468
1.22,-4.2,-11.974911728553618
1.22,-4.0,-11.774995777883438
1.22,-3.8,-11.574911728554234
1.22,-3.6,-11.37491172855483
1.22,-3.4,-11.174911728555772
1.22,-3.2,-10.974911728557258
1.22,-3.0,-10.774995777889185
1.22,-2.8,-10.574911728563318
1.22,-2.6,-10.374911728569183
1.22,-2.4,-10.174911728578452
1.22,-2.2,-9.974911728593096
1.22,-2.0,-9.774995777945803
1.22,-1.8,-9.574911728652797
1.22,-1.6,-9.374911728710572
1.22,-1.4,-9.174911728801863
1.22,-1.2,-8.974911728946113
1.22,-1.0,-8.774995778503506
1.22,-0.8,-8.574911729534206
1.22,-0.6,-8.374911730103303
1.22,-0.4,-8.174911731002547
1.22,-0.2,-7.9749117324234575
1.22,0.0,-7.774995783997068
1.22,0.2,-7.574911738216378
1.22,0.4,-7.374911743822188
1.22,0.6,-7.174911752680043
1.22,0.8,-6.974911766676525
1.22,1.0,-6.77491178879266
1.22,1.2,-6.574911823738826
1.22,1.4,-6.37491187895799
1.22,1.6,-6.174911966210937
1.22,1.8,-5.974912104081112
1.22,2.0,-5.774912321932581
1.22,2.2,-5.574912666164034
1.22,2.4,-5.374913210090819
1.22,2.6,-5.174914069559558
1.22,2.8,-4.97491542762068
1.22,3.0,-4.774917573512898
1.22,3.2,-4.574920964260604
1.22,3.4,-4.374926321998241
1.22,3.6,-4.174934787737168
1.22,3.8,-3.9749481642925035
1.22,4.0,-3.7746374457857077
1.22,4.2,-3.5748548831688964
1.22,4.4,-3.376207234248266
1.22,4.6,-3.1828029446479236
1.22,4.8,-3.0056983719165924
1.22,5.0,-2.857049491724667
1.22,5.2,-2.736781642003195
1.22,5.4,-2.636440004687705
1.22,5.6,-2.5482121568414478
1.22,5.8,-2.4671036815351366
1.3,-6.0,-13.854663885801578
1.3,-5.8,-13.65466388580158
1.3,-5.6,-13.454663885801587
1.3,-5.4,-13.254663885801593
1.3,-5.2,-13.054663885801606
1.3,-5.0,-12.854663885801628
1.3,-4.8,-12.654663885801657
1.3,-4.6,-12.45466388580171
1.3,-4.4,-12.254663885801786
1.3,-4.2,-12.054663885801913
1.3,-4.0,-11.854663885802115
1.3,-3.8,-11.654663885802426
1.3,-3.6,-11.454663885802924
1.3,-3.4,-11.254663885803707
1.3,-3.2,-11.054663885804946
1.3,-3.0,-10.854663885806904
1.3,-2.8,-10.654663885809995
1.3,-2.6,-10.454663885814883
1.3,-2.4,-10.254663885822604
1.3,-2.2,-10.054663885834804
1.3,-2.0,-9.854663885854082
1.3,-1.8,-9.65466388588454
1.3,-1.6,-9.454663885932671
1.3,-1.4,-9.254663886008718
1.3,-1.2,-9.054663886128884
1.3,-1.0,-8.854663886318757
1.3,-0.8,-8.65466388661877
1.3,-0.6,-8.454663887092826
1.3,-0.4,-8.254663887841872
1.3,-0.2,-8.054663889025441
1.3,0.0,-7.854663890895591
1.3,0.2,-7.654663893850602
1.3,0.4,-7.454663898519802
1.3,0.6,-7.254663905897577
1.3,0.8,-7.054663917555163
1.3,1.0,-6.854663935975248
1.3,1.2,-6.654663965080727
1.3,1.4,-6.454664011070133
1.3,1.6,-6.254664083737737
1.3,1.8,-6.054664198559403
1.3,2.0,-5.85466437998844
1.3,2.2,-5.654664666663334
1.3,2.4,-5.4546651196364095
1.3,2.6,-5.254665835375773
1.3,2.8,-5.054666966309298
1.3,3.0,-4.854668753285289
1.3,3.2,-4.654671576861477
1.3,3.4,-4.4546760383416455
1.3,3.6,-4.2546830878090995
1.3,3.8,-4.054694226401561
1.3,4.0,-3.8546118368887137
1.3,4.2,-3.654739633188924
1.3,4.4,-3.455283430097123
1.3,4.6,-3.2583514620897582
1.3,4.8,-3.0708518979545465
1.3,5.0,-2.9058837684887404
1.3,5.2,-2.7703518605990984
1.3,5.4,-2.659300492676172
1.3,5.6,-2.5640784829498067
1.3,5.8,-2.4783748874440272
1.38,-6.0,-13.934647944389814
1.38,-5.8,-13.734632006063302
1.38,-5.6,-13.53464794438982
1.38,-5.4,-13.334632006063313
1.38,-5.2,-13.134647944389837
1.38,-5.0,-12.934647944389853
1.38,-4.8,-12.734632006063366
1.38,-4.6,-12.534647944389922
1.38,-4.4,-12.334632006063474
1.38,-4.2,-12.134647944390093
1.38,-4.0,-11.93464794439026
1.38,-3.8,-11.734632006064007
1.38,-3.6,-11.534647944390935
1.38,-3.4,-11.334632006065073
1.38,-3.2,-11.134647944392619
1.38,-3.0,-10.934647944394248
1.38,-2.8,-10.73463200607031
1.38,-2.6,-10.534647944400893
1.38,-2.4,-10.334632006080808
1.38,-2.2,-10.13464794441748
1.38,-2.0,-9.934647944433532
1.38,-1.8,-9.734632006132383
1.38,-1.6,-9.534647944498968
1.38,-1.4,-9.334632006235779
1.38,-1.2,-9.134647944662337
1.38,-1.0,-8.934647944820423
1.38,-0.8,-8.734632006743718
1.38,-0.6,-8.534647945464883
1.38,-0.4,-8.334632007762048
1.38,-0.2,-8.134647947073855
1.38,0.0,-7.9346479486307855
1.38,0.2,-7.734632012764571
1.38,0.4,-7.534647954977891
1.38,0.6,-7.334632022793797
1.38,0.8,-7.134647970824167
1.38,1.0,-6.934647986157889
1.38,1.2,-6.734632072062118
1.38,1.4,-6.534648048668595
1.38,1.6,-6.3346481091573565
1.38,1.8,-6.134648204733688
1.38,2.0,-5.934648355750735
1.38,2.2,-5.734632656065152
1.38,2.4,-5.534648971398718
1.38,2.6,-5.3346495671324705
1.38,2.8,-5.134650508430564
1.38,3.0,-4.934651995741274
1.38,3.2,-4.734638407691167
1.38,3.4,-4.534658058981851
1.38,3.6,-4.334663926023714
1.38,3.8,-4.13467319618647
1.38,4.0,-3.934603792404089
1.38,4.2,-3.734642881444263
1.38,4.4,-3.53487940533166
1.38,4.6,-3.336220746266637
1.38,4.8,-3.1425081982013694
1.38,5.0,-2.963831472346396
1.38,5.2,-2.811983832893455
1.38,5.4,-2.6877540457744984
1.38,5.6,-2.583738332490552
1.38,5.8,-2.49214061848887
1.46,-6.0,-14.014563885801575
1.46,-5.8,-13.814563885801578
1.46,-5.6,-13.614663885801582
1.46,-5.4,-13.414563885801586
